,# cysts,# detected,# missed,# wrong,# recall,iou,precision,recall
TUBULI ADPKD 11.12.2020_DBD 3 B 40X10,10.0,8.0,2.0,1.0,0.7999920000799993,0.7651503926507631,0.8958279122213548,0.8398796454419777
TUBULI ADPKD 11.12.2020_T4 12 A 40X8,8.0,7.0,1.0,1.0,0.874989062636717,0.7555929134876503,0.8917887667887668,0.8318621867881549
TUBULI ADPKD 11.12.2020_DBD 3 B 40X22,4.0,4.0,0.0,1.0,0.9999750006249845,0.8773838474337642,0.9287359436390733,0.9407163441745574
IF 4-12.09.19 40x1 TRIAC tubo 19 (2),1.0,1.0,0.0,0.0,0.9999000099990001,0.8507333908541846,0.9499036608863198,0.8906955736224029
TUBI 29-30.07.2020_T4 2 40x1 side B,4.0,4.0,0.0,0.0,0.9999750006249845,0.8254665203073546,0.9204406364749081,0.8888888888888888
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_T4 16 lato  A 40x9",2.0,1.0,1.0,0.0,0.49997500124993743,0.5980707395498392,0.9554794520547946,0.6152149944873209
IF 4-12.09.19 RESV  TUBO 17 40X1 (19),5.0,3.0,2.0,1.0,0.5999880002399952,0.7258983890954152,0.8308041412565593,0.8518249236585721
TUBULI ADPKD 11.12.2020_T4 12 A 40X18,3.0,3.0,0.0,0.0,0.9999666677777407,0.8497748230752734,0.9503537594435784,0.8892504488330341
IF TUBI 18.12.2020_DBD+T4 14 A 40X3,5.0,2.0,3.0,0.0,0.3999920001599968,0.5143362831858407,0.9213696892834495,0.5379489078119215
TUBULI ADPKD 11.12.2020_DBD 3 A 40X37,8.0,7.0,1.0,0.0,0.874989062636717,0.8792386436340371,0.9383748719699556,0.9331183160753692
IF TUBI 18.12.2020_DBD 18 A 40X17,3.0,3.0,0.0,0.0,0.9999666677777407,0.8816655473472129,0.9789709172259508,0.8986856516976999
TUBI 29-30.07.2020_T4 2 40x19 side A,4.0,3.0,1.0,1.0,0.7499812504687383,0.5243254727002337,0.6372321198037697,0.7474258025439128
IF TUBI 18.12.2020_CTRL 6 B 40X17,12.0,12.0,0.0,3.0,0.9999916667361105,0.7520481310803891,0.8449590104990652,0.8724383724383724
IF 4-12.09.19 RESV  TUBO 17 40X1 (1),6.0,5.0,1.0,0.0,0.8333194446759221,0.6316666666666667,0.9680715197956578,0.6451063829787234
IF 4-12.09.19 40x1 CTRL tubo 11 (17),3.0,3.0,0.0,1.0,0.9999666677777407,0.580814187827489,0.7784981091301999,0.6957991308546596
TUBI 29-30.07.2020_LM609+T4 19 40x12 side A,6.0,4.0,2.0,12.0,0.6666555557407376,0.1645717626425022,0.1823974082073434,0.6274145616641902
IF 4-12.09.19 TETRAC tubo 5 40x1  (2),6.0,6.0,0.0,0.0,0.9999833336111065,0.8003689418078148,0.9556285290937487,0.8312606681297244
IF TUBI 18.12.2020_DBD+T4 14 A 40X19,4.0,4.0,0.0,0.0,0.9999750006249845,0.7571780147662018,0.8644345586513698,0.8592040958808471
TUBI 29-30.07.2020_LM609+T4 19 40x39 side A,4.0,3.0,1.0,0.0,0.7499812504687383,0.6334679228353521,0.8662576687116564,0.7021382396817504
IF TUBI 18.12.2020_T4 2 B 40X19,6.0,6.0,0.0,2.0,0.9999833336111065,0.7587967434800608,0.8352065613608749,0.8924050632911392
TUBULI ADPKD 11.12.2020_DBD 3 A 40X32,8.0,6.0,2.0,0.0,0.7499906251171861,0.8107700050327127,0.8970432652152124,0.8939570501082071
IF 4-12.09.19 40x1 TRIAC tubo 19 (19),2.0,1.0,1.0,0.0,0.49997500124993743,0.7026654411764706,0.9047337278106509,0.7588089330024814
IF TUBI 18.12.2020_CTRL 6 A 40X9,3.0,3.0,0.0,1.0,0.9999666677777407,0.5589072282299374,0.8414738646101114,0.6246819338422391
IF 4-12.09.19 40x1 CTRL tubo 11 (2),8.0,7.0,1.0,0.0,0.874989062636717,0.791900679869938,0.9150631902538996,0.8547272147187068
TUBULI ADPKD 11.12.2020_CTRL 11 A 40X34,7.0,6.0,1.0,1.0,0.8571306124198226,0.6133372331090963,0.9223663954255553,0.6467232074016962
IF TUBI 18.12.2020_DBD 18 A 40X11,4.0,4.0,0.0,2.0,0.9999750006249845,0.6658472344161546,0.7075947005038253,0.9186046511627907
TUBI 29-30.07.2020_LM609+T4 19 40x25 side A,2.0,1.0,1.0,0.0,0.49997500124993743,0.5761467889908257,0.9401197604790419,0.5980952380952381
IF ADPKD tubules 9-17.10.19 _CTRL 2 40X1,2.0,2.0,0.0,0.0,0.9999500024998749,0.8315434182264498,0.8911542255836896,0.9255464480874317
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_UO 12 lato  B 40x10",2.0,2.0,0.0,0.0,0.9999500024998749,0.7177536231884057,0.939307728781413,0.7526595744680851
TUBULI ADPKD 11.12.2020_CTRL 11 A 40X32,9.0,7.0,2.0,0.0,0.7777691358984901,0.7444914507315353,0.9118091537132987,0.802260423591984
TUBULI ADPKD 11.12.2020_CTRL 11 A 40X21,6.0,5.0,1.0,0.0,0.8333194446759221,0.710889816896884,0.882728360590347,0.7850301525363604
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_LM609+T4 5 lato B 40x5",2.0,2.0,0.0,0.0,0.9999500024998749,0.8200321371183718,0.8601123595505618,0.946229913473424
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_UO 12 lato  B 40x13",5.0,4.0,1.0,2.0,0.7999840003199936,0.6792873051224945,0.8487940630797773,0.7728040540540541
TUBI 29-30.07.2020_LM609+T4 19 40x22 side B,6.0,2.0,4.0,1.0,0.3333277778703688,0.2791482731757985,0.5745590593265634,0.3518821603927987
IF TUBI 18.12.2020_CTRL 6 A 40X12,8.0,8.0,0.0,1.0,0.999987500156248,0.7364953886693018,0.8162417162754128,0.882881788361074
IF ADPKD tubules 9-17.10.19 _T4 15 40X3,8.0,5.0,3.0,1.0,0.6249921875976551,0.6534772182254197,0.8894847283749125,0.7112229679343773
IF TUBI 18.12.2020_T4 2 A 40X11,10.0,8.0,2.0,5.0,0.7999920000799993,0.6189164370982553,0.6831542671802149,0.8681092220504895
TUBULI ADPKD 11.12.2020_T4 12 B 40X7,6.0,4.0,2.0,0.0,0.6666555557407376,0.6604660270217348,0.9062332079527136,0.708911307271963
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_CTRL 17 lato  A 40x18",1.0,1.0,0.0,0.0,0.9999000099990001,0.22139917695473252,1.0,0.22139917695473252
IF TUBI 18.12.2020_CTRL 6 A 40X11,7.0,6.0,1.0,2.0,0.8571306124198226,0.6833130328867235,0.7681774613172668,0.8608255332208071
IF TUBI 18.12.2020_DBD 18 A 40X18,3.0,2.0,1.0,1.0,0.6666444451851604,0.874976428436734,0.9590739975196362,0.9089128305582762
TUBULI ADPKD 11.12.2020_CTRL 11 A 40X35,9.0,9.0,0.0,1.0,0.9999888890123443,0.8460626420314198,0.8960862285475094,0.938102541630149
TUBULI ADPKD 11.12.2020_CTRL 11 B 40X10,3.0,2.0,1.0,0.0,0.6666444451851604,0.8937019515079835,0.960896518836433,0.9274317275237803
IF 4-12.09.19 40x1 CTRL tubo 11 (19),5.0,4.0,1.0,0.0,0.7999840003199936,0.8247184522090673,0.9133354653022066,0.8947368421052632
IF TUBI 18.12.2020_CTRL 6 B 40X37,2.0,2.0,0.0,2.0,0.9999500024998749,0.8280101964312491,0.8712527611233828,0.9434478045446779
IF 4-12.09.19 40x1 T3 tubo 7 (21),3.0,3.0,0.0,0.0,0.9999666677777407,0.6013570822731128,0.959404600811908,0.6170583115752829
IF 4-12.09.19 40x1 TRIAC tubo 19 (10),3.0,2.0,1.0,0.0,0.6666444451851604,0.4303460514640639,0.9211775878442545,0.44679871027176415
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_T4 16 lato  A 40x3",2.0,1.0,1.0,0.0,0.49997500124993743,0.5194431108977436,0.8074626865671641,0.5928767123287672
TUBULI ADPKD 11.12.2020_DBD 3 A 40X15,12.0,7.0,5.0,1.0,0.5833284722627311,0.6146041506533436,0.8742619724469713,0.6741989881956155
TUBULI ADPKD 11.12.2020_DBD 3 A 40X45,3.0,3.0,0.0,0.0,0.9999666677777407,0.8495885133952022,0.9651879848816391,0.8764450867052023
TUBULI ADPKD 11.12.2020_T4 12 A 40X5,6.0,3.0,3.0,1.0,0.49999166680555324,0.40285996055226825,0.8411118737131091,0.4360434086461484
IF 4-12.09.19 40x1 CTRL tubo 11 (6),7.0,6.0,1.0,0.0,0.8571306124198226,0.7991508432598183,0.8522198465601811,0.927710843373494
TUBI 29-30.07.2020_LM609+T4 19 40x42 side A,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
IF TUBI 18.12.2020_CTRL 6 B 40X8,1.0,1.0,0.0,0.0,0.9999000099990001,0.7739251040221914,0.9253731343283582,0.8254437869822485
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_T4 16 lato  A 40x2",3.0,2.0,1.0,1.0,0.6666444451851604,0.2962962962962963,0.6946454413892909,0.340667139815472
TUBULI ADPKD 11.12.2020_DBD+T4 13 B 40X15,6.0,6.0,0.0,0.0,0.9999833336111065,0.7469563392107472,0.9280219063763202,0.7928921568627451
TUBULI ADPKD 11.12.2020_DBD+T4 13 A 40X19,5.0,3.0,2.0,0.0,0.5999880002399952,0.6040753724802804,0.7832386363636363,0.7253354380426204
TUBULI ADPKD 11.12.2020_CTRL 11 B 40X5,1.0,1.0,0.0,0.0,0.9999000099990001,0.8221957040572793,0.8901808785529716,0.9150066401062417
IF 4-12.09.19 40x1 T3 tubo 7 (22),3.0,3.0,0.0,0.0,0.9999666677777407,0.44224422442244227,1.0,0.44224422442244227
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_LM609+T4 5 lato  A 40x1",8.0,6.0,2.0,1.0,0.7499906251171861,0.559101874188161,0.768230494645589,0.6725446428571429
IF TUBI 18.12.2020_DBD+T4 14 A 40X5,3.0,2.0,1.0,0.0,0.6666444451851604,0.8507590335685268,0.9406619385342789,0.8990058743786715
TUBI 29-30.07.2020_LM609+T4 19 40x7 side B,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
IF TUBI 18.12.2020_DBD 18 A 40X21,3.0,3.0,0.0,2.0,0.9999666677777407,0.7111791730474732,0.7807666442501682,0.8886337543053962
IF ADPKD tubules 9-17.10.19 _DBD 32 40X4,1.0,1.0,0.0,0.0,0.9999000099990001,0.7392578125,0.9606598984771574,0.7623363544813696
TUBULI ADPKD 11.12.2020_DBD+T4 13 A 40X3,6.0,6.0,0.0,0.0,0.9999833336111065,0.7821134781691627,0.9059369655509406,0.8512396694214877
TUBI 29-30.07.2020_T4 2 40x14 side B,3.0,3.0,0.0,3.0,0.9999666677777407,0.6204379562043796,0.6599378881987578,0.9120171673819742
IF ADPKD tubules 9-17.10.19 _Triac 6 40X10,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
IF 4-12.09.19 40x1 T3 tubo 7 (3),2.0,2.0,0.0,0.0,0.9999500024998749,0.8585714285714285,0.9585326953748007,0.8916913946587537
TUBULI ADPKD 11.12.2020_T4 12 B 40X9,3.0,3.0,0.0,2.0,0.9999666677777407,0.7038877521192634,0.8748410535876476,0.782707622298066
TUBULI ADPKD 11.12.2020_CTRL 11 B 40X16,3.0,3.0,0.0,0.0,0.9999666677777407,0.6955248849853618,0.9387524696584815,0.7285870755750273
TUBI 29-30.07.2020_LM609+T4 19 40x43 side A,4.0,2.0,2.0,0.0,0.49998750031249223,0.5337564916330063,0.8620689655172413,0.583596214511041
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_T4 16 lato B 40x6",2.0,2.0,0.0,1.0,0.9999500024998749,0.5584768812330009,0.6197183098591549,0.8496551724137931
IF TUBI 18.12.2020_DBD+T4 14 A 40X18,6.0,6.0,0.0,1.0,0.9999833336111065,0.8076149202909766,0.883957309842453,0.903393351800554
